,k,run time,average cover size,S
0,1,0.7272938999999994,15.821,[9994]
1,2,0.7273116000000002,3260.917,"[9994, 100]"
2,3,0.7273329000000004,3287.468,"[9994, 100, 474]"
3,4,0.7274458999999993,3290.043,"[9994, 100, 474, 287]"
4,5,0.7274622999999991,3295.037,"[9994, 100, 474, 287, 239]"
5,6,0.7281491999999989,3299.899,"[9994, 100, 474, 287, 239, 196]"
6,7,0.7282440000000001,3296.822,"[9994, 100, 474, 287, 239, 196, 80]"
7,8,0.7282662999999996,3316.84,"[9994, 100, 474, 287, 239, 196, 80, 606]"
8,9,0.728289199999999,3322.35,"[9994, 100, 474, 287, 239, 196, 80, 606, 639]"
9,10,0.7283235999999995,3328.822,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124]"
10,11,0.7283978999999992,3339.924,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221]"
11,12,0.7285836999999997,3341.315,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634]"
12,13,0.7286105000000003,3340.756,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525]"
13,14,0.7286689000000006,3344.831,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267]"
14,15,0.7287534000000004,3341.051,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88]"
15,16,0.7287856999999995,3342.828,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162]"
16,17,0.728819399999999,3354.705,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599]"
17,18,0.728948599999999,3351.543,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1]"
18,19,0.7290306999999991,3370.182,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66]"
19,20,0.7292056999999996,3379.259,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292]"
20,21,0.7292872999999993,3403.153,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138]"
21,22,0.7293322999999994,3399.843,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128]"
22,23,0.7293865999999998,3401.008,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159]"
23,24,0.7294821000000002,3408.095,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251]"
24,25,0.7295856999999994,3422.364,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210]"
25,26,0.7297171999999996,3412.707,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457]"
26,27,0.7297931000000002,3421.242,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246]"
27,28,0.7298922999999995,3421.385,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359]"
28,29,0.7299395999999998,3431.072,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359, 4824]"
29,30,0.7299956999999999,3435.788,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359, 4824, 26]"
30,31,0.7300401999999995,3437.382,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359, 4824, 26, 9284]"
31,32,0.731452899999999,3438.658,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359, 4824, 26, 9284, 1256]"
32,33,0.7315903000000006,3426.449,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359, 4824, 26, 9284, 1256, 608]"
33,34,0.7316935999999998,3440.547,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359, 4824, 26, 9284, 1256, 608, 562]"
34,35,0.7317459999999993,3437.008,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359, 4824, 26, 9284, 1256, 608, 562, 192]"
35,36,0.7318625000000001,3453.833,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359, 4824, 26, 9284, 1256, 608, 562, 192, 156]"
36,37,0.7319753999999996,3454.514,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359, 4824, 26, 9284, 1256, 608, 562, 192, 156, 236]"
37,38,0.7321189999999991,3462.401,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359, 4824, 26, 9284, 1256, 608, 562, 192, 156, 236, 1765]"
38,39,0.732403699999999,3463.696,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359, 4824, 26, 9284, 1256, 608, 562, 192, 156, 236, 1765, 535]"
39,40,0.7324704999999998,3461.948,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359, 4824, 26, 9284, 1256, 608, 562, 192, 156, 236, 1765, 535, 512]"
40,41,0.7326104000000004,3462.619,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359, 4824, 26, 9284, 1256, 608, 562, 192, 156, 236, 1765, 535, 512, 661]"
41,42,0.7327525000000001,3452.872,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359, 4824, 26, 9284, 1256, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60]"
42,43,0.7328151999999992,3462.835,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359, 4824, 26, 9284, 1256, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140]"
43,44,0.732998499999999,3473.147,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359, 4824, 26, 9284, 1256, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140, 13265]"
44,45,0.7345196999999999,3478.08,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359, 4824, 26, 9284, 1256, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140, 13265, 1689]"
45,46,0.7349917000000001,3483.533,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359, 4824, 26, 9284, 1256, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140, 13265, 1689, 111]"
46,47,0.735298499999999,3480.321,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359, 4824, 26, 9284, 1256, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140, 13265, 1689, 111, 3147]"
47,48,0.7354503999999995,3487.899,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359, 4824, 26, 9284, 1256, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140, 13265, 1689, 111, 3147, 133]"
48,49,0.7355154000000006,3485.004,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359, 4824, 26, 9284, 1256, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140, 13265, 1689, 111, 3147, 133, 19]"
49,50,0.7361237000000003,3495.408,"[9994, 100, 474, 287, 239, 196, 80, 606, 639, 124, 221, 634, 525, 267, 88, 1162, 599, 1, 66, 1292, 3138, 128, 159, 251, 210, 457, 246, 359, 4824, 26, 9284, 1256, 608, 562, 192, 156, 236, 1765, 535, 512, 661, 60, 140, 13265, 1689, 111, 3147, 133, 19, 6675]"
